Concreto,0.1,0.09,0.08,0.09,0.1,0.04
Vitropiso,0.01,0.01,0.01,0.02,0.02,0.01
Madera,0,0.16,0.13,0.01,0.06,0.05
Vidrio,0.35,0.25,0.18,0.12,0.07,0.04
Alfombra,0.09,0.08,0.21,0.27,0.27,0.37
Ladrillo,0.01,0.02,0.02,0.2,0.3,0.3
Doble Vidrio,0.25,0.1,0.07,0.06,0.04,0.02
Marmol,0.01,0.01,0.01,0.02,0.02,0.01
Piedra,0.02,0.02,0.02,0.03,0.04,0.04
Yeso,0.3,0.2,0.04,0.02,0.02,0.02
Piedra,0.02,0.02,0.02,0.03,0.04,0.04
